Station_No,Station_ID,Bike_Lat,Bike_Lon,name,distance
112,20506dc0614eddbe19dd917155bae3b7,37.34398467798214,-121.87438488006592,Wienerschnitzel,213
112,20506dc0614eddbe19dd917155bae3b7,37.34398467798214,-121.87438488006592,Neveria Snacks,335
112,20506dc0614eddbe19dd917155bae3b7,37.34398467798214,-121.87438488006592,Binh Minh Restaurant,418
112,20506dc0614eddbe19dd917155bae3b7,37.34398467798214,-121.87438488006592,Domino's Pizza,431
113,e4484b938889737f1687d11b6ff02341,37.330698,-121.888979,San Jose Marriott,70
113,e4484b938889737f1687d11b6ff02341,37.330698,-121.888979,Il Fornaio,101
113,e4484b938889737f1687d11b6ff02341,37.330698,-121.888979,A Little Bit Of Everything,158
113,e4484b938889737f1687d11b6ff02341,37.330698,-121.888979,Morton's The Steakhouse,169
113,e4484b938889737f1687d11b6ff02341,37.330698,-121.888979,Nirvana Soul,169
114,3933d9199c099118951ac7cf72031c13,37.331415,-121.8932,San Jose Center for the Performing Arts,179
114,3933d9199c099118951ac7cf72031c13,37.331415,-121.8932,Caravan Lounge,185
114,3933d9199c099118951ac7cf72031c13,37.331415,-121.8932,Taurinus Brazilian Steakhouse,210
114,3933d9199c099118951ac7cf72031c13,37.331415,-121.8932,Hyatt Place San Jose/Downtown,242
114,3933d9199c099118951ac7cf72031c13,37.331415,-121.8932,Myth,291
115,0cc1f03c89a4048d7b2df21d498bde14,37.329732,-121.901782,McCarthy's Newsstand,77
115,0cc1f03c89a4048d7b2df21d498bde14,37.329732,-121.901782,Britainnia Arms,96
115,0cc1f03c89a4048d7b2df21d498bde14,37.329732,-121.901782,Plant 51 Gym,249
115,0cc1f03c89a4048d7b2df21d498bde14,37.329732,-121.901782,BMW Lounge,274
115,0cc1f03c89a4048d7b2df21d498bde14,37.329732,-121.901782,The Grill,275
116,cad9a547732685a295e62323fd9aa378,37.333798,-121.886943,Whispers Cafe and Creperie,10
116,cad9a547732685a295e62323fd9aa378,37.333798,-121.886943,Subway,63
116,cad9a547732685a295e62323fd9aa378,37.333798,-121.886943,My Milkshake,66
116,cad9a547732685a295e62323fd9aa378,37.333798,-121.886943,La Lune Sucrée,158
116,cad9a547732685a295e62323fd9aa378,37.333798,-121.886943,Tangerine Hair Studio,163
117,7bb8d66fe7b1db88c66142fe3da816c3,37.335885,-121.88566,"Dr Martin Luther King, Jr Library",74
117,7bb8d66fe7b1db88c66142fe3da816c3,37.335885,-121.88566,7-Eleven,113
117,7bb8d66fe7b1db88c66142fe3da816c3,37.335885,-121.88566,Banh Mi Oven,123
117,7bb8d66fe7b1db88c66142fe3da816c3,37.335885,-121.88566,Liquid Restaurant & Lounge,214
117,7bb8d66fe7b1db88c66142fe3da816c3,37.335885,-121.88566,SmokeEaters,220
118,3e4a340888aa808d7bbae5d2372c06dc,37.333955,-121.877349,The Village Market,105
118,3e4a340888aa808d7bbae5d2372c06dc,37.333955,-121.877349,Super Taqueria,178
118,3e4a340888aa808d7bbae5d2372c06dc,37.333955,-121.877349,Sammy G's Pizzeria,190
118,3e4a340888aa808d7bbae5d2372c06dc,37.333955,-121.877349,The Corner Cafe & Diner,200
118,3e4a340888aa808d7bbae5d2372c06dc,37.333955,-121.877349,Cali Spartan Mexican Kitchen,227
119,16b5b91495e0c631f87a21bdc3b2d41f,37.834174,-122.272968,Joodooboo,200
119,16b5b91495e0c631f87a21bdc3b2d41f,37.834174,-122.272968,Pizza Amigos,394
119,16b5b91495e0c631f87a21bdc3b2d41f,37.834174,-122.272968,Tacos Chavez,429
119,16b5b91495e0c631f87a21bdc3b2d41f,37.834174,-122.272968,Shangri-La Vegan,470
119,16b5b91495e0c631f87a21bdc3b2d41f,37.834174,-122.272968,Mellana Cafe,485
120,48ae1a8e476b68de634e7f103c359b56,37.333988,-121.894902,AC Lounge at AC Hotel San Jose Downtown,110
120,48ae1a8e476b68de634e7f103c359b56,37.333988,-121.894902,Dac Phuc Restaurant,116
120,48ae1a8e476b68de634e7f103c359b56,37.333988,-121.894902,AC Hotels by Marriott,142
120,48ae1a8e476b68de634e7f103c359b56,37.333988,-121.894902,The Britannia Arm,149
120,48ae1a8e476b68de634e7f103c359b56,37.333988,-121.894902,Five Points,158
121,b347e314d1a3b9d27875b46ce3fd7f70,37.7719996,-122.3899698,Bay Wheels Dock - China Basin St at 3rd St,23
121,b347e314d1a3b9d27875b46ce3fd7f70,37.7719996,-122.3899698,Strata Gym,74
121,b347e314d1a3b9d27875b46ce3fd7f70,37.7719996,-122.3899698,Starbucks,103
121,b347e314d1a3b9d27875b46ce3fd7f70,37.7719996,-122.3899698,Watering Hole,128
121,b347e314d1a3b9d27875b46ce3fd7f70,37.7719996,-122.3899698,The Bar,129
122,5b3c9868ef64e09442b06df5ce4ef24d,37.78045005996349,-122.43194639682768,Merchant Roots,194
122,5b3c9868ef64e09442b06df5ce4ef24d,37.78045005996349,-122.43194639682768,Fillmore Karaoke Corporation,248
122,5b3c9868ef64e09442b06df5ce4ef24d,37.78045005996349,-122.43194639682768,Alamo Square Hideout,287
122,5b3c9868ef64e09442b06df5ce4ef24d,37.78045005996349,-122.43194639682768,L2,329
122,5b3c9868ef64e09442b06df5ce4ef24d,37.78045005996349,-122.43194639682768,The Anchovy Bar,333
123,d94a66f24de908a615ce0a46f27a682b,37.78749210438603,-122.3982846736908,Sweetgreen,39
123,d94a66f24de908a615ce0a46f27a682b,37.78749210438603,-122.3982846736908,Pie Punks,56
123,d94a66f24de908a615ce0a46f27a682b,37.78749210438603,-122.3982846736908,Blue Bottle Coffee,59
123,d94a66f24de908a615ce0a46f27a682b,37.78749210438603,-122.3982846736908,Southside Spirit House,64
123,d94a66f24de908a615ce0a46f27a682b,37.78749210438603,-122.3982846736908,Philz Coffee,76
124,448833b358f62bf1d1206c813f792669,37.779046658472055,-122.44729131460188,Blood Centers of The Pacific,30
124,448833b358f62bf1d1206c813f792669,37.779046658472055,-122.44729131460188,Subway,345
124,448833b358f62bf1d1206c813f792669,37.779046658472055,-122.44729131460188,Barrel Head Brewhouse,365
124,448833b358f62bf1d1206c813f792669,37.779046658472055,-122.44729131460188,Pig & Whistle Bar,375
124,448833b358f62bf1d1206c813f792669,37.779046658472055,-122.44729131460188,Bistro Gambrinus,376
125,515b2fdc0cfb6110776790b85400f062,37.75823842417928,-122.4260938167572,Helen Diller Playground,93
125,515b2fdc0cfb6110776790b85400f062,37.75823842417928,-122.4260938167572,Mission Dolores Park,214
125,515b2fdc0cfb6110776790b85400f062,37.75823842417928,-122.4260938167572,Dolores Outpost,287
125,515b2fdc0cfb6110776790b85400f062,37.75823842417928,-122.4260938167572,Bi-Rite Creamery Truck,357
125,515b2fdc0cfb6110776790b85400f062,37.75823842417928,-122.4260938167572,Mission Playground,361
126,03cc61af40764524160f132da0f3f681,37.8505777,-122.2781754,House Of Curries,39
126,03cc61af40764524160f132da0f3f681,37.8505777,-122.2781754,Creekwood,40
126,03cc61af40764524160f132da0f3f681,37.8505777,-122.2781754,Action House,313
126,03cc61af40764524160f132da0f3f681,37.8505777,-122.2781754,Kaffa Ethiopian Cuisine,331
126,03cc61af40764524160f132da0f3f681,37.8505777,-122.2781754,M & B Market,375
127,0a40fbe91996a7ac0b46d34871aa896b,37.73981271734901,-122.42552250623704,Cuisine of Nepal,257
127,0a40fbe91996a7ac0b46d34871aa896b,37.73981271734901,-122.42552250623704,La Ciccia,259
127,0a40fbe91996a7ac0b46d34871aa896b,37.73981271734901,-122.42552250623704,Tilak,275
127,0a40fbe91996a7ac0b46d34871aa896b,37.73981271734901,-122.42552250623704,Cafe XO,288
127,0a40fbe91996a7ac0b46d34871aa896b,37.73981271734901,-122.42552250623704,Church Produce,291
128,ff965c7f0bb892bf7053a78b4df24275,37.35288682729121,-121.88604980707169,Rollo's Donut & Coffee Shop,14
128,ff965c7f0bb892bf7053a78b4df24275,37.35288682729121,-121.88604980707169,Chiaramonte's Deli & Sausages,63
128,ff965c7f0bb892bf7053a78b4df24275,37.35288682729121,-121.88604980707169,Back A Yard Caribbean,120
128,ff965c7f0bb892bf7053a78b4df24275,37.35288682729121,-121.88604980707169,Jalisco,197
128,ff965c7f0bb892bf7053a78b4df24275,37.35288682729121,-121.88604980707169,Checo's Restaurant,216
129,49bb4994b8e1aacd936090458544f74d,37.35306166133104,-121.89193725585936,Sinceretea,34
129,49bb4994b8e1aacd936090458544f74d,37.35306166133104,-121.89193725585936,Ultimate Tanning Salon,46
129,49bb4994b8e1aacd936090458544f74d,37.35306166133104,-121.89193725585936,Taylor Street Market,61
129,49bb4994b8e1aacd936090458544f74d,37.35306166133104,-121.89193725585936,Gordon Biersch Brewery Restaurant,67
129,49bb4994b8e1aacd936090458544f74d,37.35306166133104,-121.89193725585936,Taylor Street Night Market,141
130,1d2910bd99e3e2abbe63546c231cfab8,37.77452040113685,-122.4094493687153,Driftwood,86
130,1d2910bd99e3e2abbe63546c231cfab8,37.77452040113685,-122.4094493687153,F8 1192 Folsom,94
130,1d2910bd99e3e2abbe63546c231cfab8,37.77452040113685,-122.4094493687153,Basil Thai Restaurant & Bar,97
130,1d2910bd99e3e2abbe63546c231cfab8,37.77452040113685,-122.4094493687153,Cat Club,97
130,1d2910bd99e3e2abbe63546c231cfab8,37.77452040113685,-122.4094493687153,KoR Karaoke,100
131,36460a8c801bc83206f3810f859f9573,37.7765126,-122.4113061,Enterprise Brewing Co.,91
131,36460a8c801bc83206f3810f859f9573,37.7765126,-122.4113061,Club Rausch,132
131,36460a8c801bc83206f3810f859f9573,37.7765126,-122.4113061,DECANTsf,177
131,36460a8c801bc83206f3810f859f9573,37.7765126,-122.4113061,Cat Club,180
131,36460a8c801bc83206f3810f859f9573,37.7765126,-122.4113061,Driftwood,211
132,d436129450e3a2223972a9b3f7134f73,37.8723555,-122.2664467,Simply Bowl,60
132,d436129450e3a2223972a9b3f7134f73,37.8723555,-122.2664467,Lucky House,79
132,d436129450e3a2223972a9b3f7134f73,37.8723555,-122.2664467,Ippudo,101
132,d436129450e3a2223972a9b3f7134f73,37.8723555,-122.2664467,Blue Bottle Coffee,122
132,d436129450e3a2223972a9b3f7134f73,37.8723555,-122.2664467,Fire Wings,147
133,1596efd5fa00679aefd3b5d3d1b2ef26,37.866249,-122.2993708,Takara Sake USA,33
133,1596efd5fa00679aefd3b5d3d1b2ef26,37.866249,-122.2993708,Steamworks,45
133,1596efd5fa00679aefd3b5d3d1b2ef26,37.866249,-122.2993708,Lacquerbar,48
133,1596efd5fa00679aefd3b5d3d1b2ef26,37.866249,-122.2993708,Wine So Cru,161
133,1596efd5fa00679aefd3b5d3d1b2ef26,37.866249,-122.2993708,Project Juice,248
134,0d5e25e4358800e347be5dd9808fabb5,37.8658466,-122.2674431,Wikiwiki Hawaiian BBQ,33
134,0d5e25e4358800e347be5dd9808fabb5,37.8658466,-122.2674431,La Note,42
134,0d5e25e4358800e347be5dd9808fabb5,37.8658466,-122.2674431,Endless Summer Sweets,49
134,0d5e25e4358800e347be5dd9808fabb5,37.8658466,-122.2674431,Cornerstone Craft Beer & Live Music,54
134,0d5e25e4358800e347be5dd9808fabb5,37.8658466,-122.2674431,Thalazza,61
135,4a2e731c87e9a1e07ad0f5c8a91efd4b,37.86641794050319,-122.25379943847656,Henry's Bar & Restaurant,277
135,4a2e731c87e9a1e07ad0f5c8a91efd4b,37.86641794050319,-122.25379943847656,Graduate Berkeley,277
135,4a2e731c87e9a1e07ad0f5c8a91efd4b,37.86641794050319,-122.25379943847656,Sigma Alpha Epsilon,296
135,4a2e731c87e9a1e07ad0f5c8a91efd4b,37.86641794050319,-122.25379943847656,Dumpling Express,299
135,4a2e731c87e9a1e07ad0f5c8a91efd4b,37.86641794050319,-122.25379943847656,Woo Hon Fai Hall,309
136,9cc649af249977ff781d4b755abd4388,37.87055532905745,-122.27972030639648,North Beach Pizza,23
136,9cc649af249977ff781d4b755abd4388,37.87055532905745,-122.27972030639648,Spun Sugar,38
136,9cc649af249977ff781d4b755abd4388,37.87055532905745,-122.27972030639648,Himalayan Flavors,70
136,9cc649af249977ff781d4b755abd4388,37.87055532905745,-122.27972030639648,Berkeley Massage & Self Healing Center,78
136,9cc649af249977ff781d4b755abd4388,37.87055532905745,-122.27972030639648,Sacred Rose Tattoo,250
137,569d5c153e5380ea2f286b48217ec566,37.870407115465376,-122.29967594146729,Cafe M,21
137,569d5c153e5380ea2f286b48217ec566,37.870407115465376,-122.29967594146729,Dumpling Time,70
137,569d5c153e5380ea2f286b48217ec566,37.870407115465376,-122.29967594146729,Oceanview To-Go Deli & Bakery,80
137,569d5c153e5380ea2f286b48217ec566,37.870407115465376,-122.29967594146729,Oceanview Diner,92
137,569d5c153e5380ea2f286b48217ec566,37.870407115465376,-122.29967594146729,Noble Cow Creamery,93
138,af8c8625437ce60d8d247d158945ebd8,37.88022244590679,-122.26959228515624,Cafenated Coffee Company,28
138,af8c8625437ce60d8d247d158945ebd8,37.88022244590679,-122.26959228515624,Abstract Table,34
138,af8c8625437ce60d8d247d158945ebd8,37.88022244590679,-122.26959228515624,Grassy Knoll Near Cheese Board,36
138,af8c8625437ce60d8d247d158945ebd8,37.88022244590679,-122.26959228515624,Cheese Board Pizza,46
138,af8c8625437ce60d8d247d158945ebd8,37.88022244590679,-122.26959228515624,Solemates Nail Spa,57
139,8be5197057004601e172a2eb9bbe1f11,37.87657254910685,-122.26952791213988,Cha Ya Vegetarian Japanese Restaurant,44
139,8be5197057004601e172a2eb9bbe1f11,37.87657254910685,-122.26952791213988,Taste of the Himalayas,45
139,8be5197057004601e172a2eb9bbe1f11,37.87657254910685,-122.26952791213988,Thai Delight Cuisine,51
139,8be5197057004601e172a2eb9bbe1f11,37.87657254910685,-122.26952791213988,Poulet,66
139,8be5197057004601e172a2eb9bbe1f11,37.87657254910685,-122.26952791213988,Da Lian Restaurant,70
140,02f7cffdcfad5a5d9863c1b70a7eb17c,37.849594967776646,-122.26556897163393,M & S Kitchen,22
140,02f7cffdcfad5a5d9863c1b70a7eb17c,37.849594967776646,-122.26556897163393,Subway,43
140,02f7cffdcfad5a5d9863c1b70a7eb17c,37.849594967776646,-122.26556897163393,Nomad Cafe,79
140,02f7cffdcfad5a5d9863c1b70a7eb17c,37.849594967776646,-122.26556897163393,Nick's Pizza,145
140,02f7cffdcfad5a5d9863c1b70a7eb17c,37.849594967776646,-122.26556897163393,Dry Garden,204
141,ebbfe1c4b86ffc03d3be17ba20a6ec99,37.8465156,-122.2653043,Shewat,30
141,ebbfe1c4b86ffc03d3be17ba20a6ec99,37.8465156,-122.2653043,Nick's Pizza,199
141,ebbfe1c4b86ffc03d3be17ba20a6ec99,37.8465156,-122.2653043,Subway,318
141,ebbfe1c4b86ffc03d3be17ba20a6ec99,37.8465156,-122.2653043,M & S Kitchen,323
141,ebbfe1c4b86ffc03d3be17ba20a6ec99,37.8465156,-122.2653043,KFC,370
142,6ad0aba1d60a8bba74e69b3c7278acb8,37.81498823042416,-122.2748440504074,Stay Gold Deli,314
142,6ad0aba1d60a8bba74e69b3c7278acb8,37.81498823042416,-122.2748440504074,ARCO,329
142,6ad0aba1d60a8bba74e69b3c7278acb8,37.81498823042416,-122.2748440504074,Twins Halal House & Bakery,366
142,6ad0aba1d60a8bba74e69b3c7278acb8,37.81498823042416,-122.2748440504074,M & O Market,380
142,6ad0aba1d60a8bba74e69b3c7278acb8,37.81498823042416,-122.2748440504074,Chile Bravo Grill,384
143,4deef404025cb87bec9c395b953cdfd9,37.8513755,-122.2525233,Cask on College,8
143,4deef404025cb87bec9c395b953cdfd9,37.8513755,-122.2525233,About Face & Body,17
143,4deef404025cb87bec9c395b953cdfd9,37.8513755,-122.2525233,Boichik Bagels,20
143,4deef404025cb87bec9c395b953cdfd9,37.8513755,-122.2525233,Berkeley Royal Cleaners,23
143,4deef404025cb87bec9c395b953cdfd9,37.8513755,-122.2525233,Tara's Organic Ice Cream,24
144,c2648d0ffed4d1f710ccaf79e9a304fa,37.8005161,-122.2720799,UC Dessert,20
144,c2648d0ffed4d1f710ccaf79e9a304fa,37.8005161,-122.2720799,Ying Kee Noodle House,38
144,c2648d0ffed4d1f710ccaf79e9a304fa,37.8005161,-122.2720799,Golden Tea Shop,39
144,c2648d0ffed4d1f710ccaf79e9a304fa,37.8005161,-122.2720799,Sobo Ramen,51
144,c2648d0ffed4d1f710ccaf79e9a304fa,37.8005161,-122.2720799,Tian Jin Dumplings,52
145,8302e5d11a6c84bac27a774de41474f9,37.7973195,-122.2653199,Lake Merritt BART Station,10
145,8302e5d11a6c84bac27a774de41474f9,37.7973195,-122.2653199,Lane-e Kefa Coffee,59
145,8302e5d11a6c84bac27a774de41474f9,37.7973195,-122.2653199,Off the Grid: Lake Merritt at OMCA,140
145,8302e5d11a6c84bac27a774de41474f9,37.7973195,-122.2653199,Laney College,162
145,8302e5d11a6c84bac27a774de41474f9,37.7973195,-122.2653199,Oakland Museum of California,217
146,43944ce65c342e60c0ccf1c9f5ec51f6,37.79857210846256,-122.40086898207666,The Battery,81
146,43944ce65c342e60c0ccf1c9f5ec51f6,37.79857210846256,-122.40086898207666,Old Ship Saloon,88
146,43944ce65c342e60c0ccf1c9f5ec51f6,37.79857210846256,-122.40086898207666,Kokkari Estiatorio,215
146,43944ce65c342e60c0ccf1c9f5ec51f6,37.79857210846256,-122.40086898207666,The Gateway Theatre,224
146,43944ce65c342e60c0ccf1c9f5ec51f6,37.79857210846256,-122.40086898207666,Bix,271
147,60031404d0e98d8de9b6531836dc0888,37.34113203547954,-121.8928438425064,Devine Cheese And Wine,94
147,60031404d0e98d8de9b6531836dc0888,37.34113203547954,-121.8928438425064,Trials Pub,138
147,60031404d0e98d8de9b6531836dc0888,37.34113203547954,-121.8928438425064,Teske's Germania,156
147,60031404d0e98d8de9b6531836dc0888,37.34113203547954,-121.8928438425064,La Victoria Taqueria,200
147,60031404d0e98d8de9b6531836dc0888,37.34113203547954,-121.8928438425064,Freshly Baked Eatery,312
148,a7d703c1d843d22ee42adb5e6db291da,37.755367132158526,-122.38879501819608,Besharam,151
148,a7d703c1d843d22ee42adb5e6db291da,37.755367132158526,-122.38879501819608,Dogpatch Boulders,157
148,a7d703c1d843d22ee42adb5e6db291da,37.755367132158526,-122.38879501819608,Philz Coffee,165
148,a7d703c1d843d22ee42adb5e6db291da,37.755367132158526,-122.38879501819608,Above & Beyond Catering,211
148,a7d703c1d843d22ee42adb5e6db291da,37.755367132158526,-122.38879501819608,Biscuit Bender,221
149,5ea5e58b4dc5550721049acb54220651,37.72694296622841,-122.40659952163696,Sunshine Wheat Field Dim Sum,249
149,5ea5e58b4dc5550721049acb54220651,37.72694296622841,-122.40659952163696,Chef Li's Cafe,250
149,5ea5e58b4dc5550721049acb54220651,37.72694296622841,-122.40659952163696,Bus Stop Liquors & Deli,251
149,5ea5e58b4dc5550721049acb54220651,37.72694296622841,-122.40659952163696,Hong Kong Restaurant,253
149,5ea5e58b4dc5550721049acb54220651,37.72694296622841,-122.40659952163696,Giant Scoop Cafe,253
150,c2e3051962238764d5e968e6f4544485,37.86906047545393,-122.29339957237242,Premier Cru Wine Shop,24
150,c2e3051962238764d5e968e6f4544485,37.86906047545393,-122.29339957237242,Kabana Restaurant,35
150,c2e3051962238764d5e968e6f4544485,37.86906047545393,-122.29339957237242,Halal Food Market,79
150,c2e3051962238764d5e968e6f4544485,37.86906047545393,-122.29339957237242,La Marcha Tapas Bar,112
150,c2e3051962238764d5e968e6f4544485,37.86906047545393,-122.29339957237242,Everett & Jones Barbeque,124
151,33424dfd71dd02911d83b5b683e55791,37.771431362921085,-122.40578681230544,On The Rocks,48
151,33424dfd71dd02911d83b5b683e55791,37.771431362921085,-122.40578681230544,Pizza Squared,61
151,33424dfd71dd02911d83b5b683e55791,37.771431362921085,-122.40578681230544,El Pipila,73
151,33424dfd71dd02911d83b5b683e55791,37.771431362921085,-122.40578681230544,Ca$h Bar,73
151,33424dfd71dd02911d83b5b683e55791,37.771431362921085,-122.40578681230544,Bellota,75
152,3367402e41d84a3c70c5056e5312bb24,37.72927865173028,-122.39289611577988,El Azteca Taqueria,16
152,3367402e41d84a3c70c5056e5312bb24,37.72927865173028,-122.39289611577988,Gratta Wines,63
152,3367402e41d84a3c70c5056e5312bb24,37.72927865173028,-122.39289611577988,The Jazz Room,68
152,3367402e41d84a3c70c5056e5312bb24,37.72927865173028,-122.39289611577988,Las Palmas San Francisco,84
152,3367402e41d84a3c70c5056e5312bb24,37.72927865173028,-122.39289611577988,Bloomstock,132
153,c8131aed6f3df2f78149eb338df66e66,37.8178269,-122.2756976,Stay Gold Deli,19
153,c8131aed6f3df2f78149eb338df66e66,37.8178269,-122.2756976,Twins Halal House & Bakery,146
153,c8131aed6f3df2f78149eb338df66e66,37.8178269,-122.2756976,M & O Market,193
153,c8131aed6f3df2f78149eb338df66e66,37.8178269,-122.2756976,Giant Burrito,216
153,c8131aed6f3df2f78149eb338df66e66,37.8178269,-122.2756976,Spinning Dough,269
154,8ecedfe82a3e35413e8a45da10ace67b,37.8277573,-122.2567156,Clove and hoof,9
154,8ecedfe82a3e35413e8a45da10ace67b,37.8277573,-122.2567156,Aman Cafe,14
154,8ecedfe82a3e35413e8a45da10ace67b,37.8277573,-122.2567156,Teni East Kitchen,17
154,8ecedfe82a3e35413e8a45da10ace67b,37.8277573,-122.2567156,Mama's Royal Cafe,34
154,8ecedfe82a3e35413e8a45da10ace67b,37.8277573,-122.2567156,Copper Spoon,35
155,891294b26b673dc172e2dc00d96ccf2e,37.3509643,-121.9020161,Crab Monkey,137
155,891294b26b673dc172e2dc00d96ccf2e,37.3509643,-121.9020161,Jackie's Place,147
155,891294b26b673dc172e2dc00d96ccf2e,37.3509643,-121.9020161,Sourdough Eatery,149
155,891294b26b673dc172e2dc00d96ccf2e,37.3509643,-121.9020161,Togo's,347
155,891294b26b673dc172e2dc00d96ccf2e,37.3509643,-121.9020161,Downtown Scholars Child Development Center,353
156,7c2a6fcca214cf03806ad50164de0f0e,37.3383952,-121.8807965,Kali Noodles and Tea Bar,209
156,7c2a6fcca214cf03806ad50164de0f0e,37.3383952,-121.8807965,Tofoo Com Chay,219
156,7c2a6fcca214cf03806ad50164de0f0e,37.3383952,-121.8807965,7-Eleven,244
156,7c2a6fcca214cf03806ad50164de0f0e,37.3383952,-121.8807965,San Jose State University Student Union Food Court,246
156,7c2a6fcca214cf03806ad50164de0f0e,37.3383952,-121.8807965,Taco Bell,250
157,a4d58de82f6475801e4bf6cf97ecd387,37.3371223728942,-121.88321471214294,Peanuts Deluxe Cafe,26
157,a4d58de82f6475801e4bf6cf97ecd387,37.3371223728942,-121.88321471214294,Sa by Thai Cuisine,38
157,a4d58de82f6475801e4bf6cf97ecd387,37.3371223728942,-121.88321471214294,Banh Mi Oven,137
157,a4d58de82f6475801e4bf6cf97ecd387,37.3371223728942,-121.88321471214294,Grocery Outlet,161
157,a4d58de82f6475801e4bf6cf97ecd387,37.3371223728942,-121.88321471214294,Lee's Sandwiches,203
158,086b31d113c141a26d19612139ad8956,37.78352083526095,-122.43115782737732,L2,113
158,086b31d113c141a26d19612139ad8956,37.78352083526095,-122.43115782737732,Wise Sons Bagel & Bakery,118
158,086b31d113c141a26d19612139ad8956,37.78352083526095,-122.43115782737732,I'a Poke,138
158,086b31d113c141a26d19612139ad8956,37.78352083526095,-122.43115782737732,The Social Study,144
158,086b31d113c141a26d19612139ad8956,37.78352083526095,-122.43115782737732,Bansang,144
159,fcbb52bd7f4fcf0f57a7cc47078c7ff4,37.78487208436062,-122.40087568759915,B Restaurant & Bar,73
159,fcbb52bd7f4fcf0f57a7cc47078c7ff4,37.78487208436062,-122.40087568759915,San Francisco Museum of Modern Art,113
159,fcbb52bd7f4fcf0f57a7cc47078c7ff4,37.78487208436062,-122.40087568759915,Yerba Buena Gardens,147
159,fcbb52bd7f4fcf0f57a7cc47078c7ff4,37.78487208436062,-122.40087568759915,St. Regis Hotels & Resorts,149
159,fcbb52bd7f4fcf0f57a7cc47078c7ff4,37.78487208436062,-122.40087568759915,Yerba Buena Center for the Arts,154
160,03ec647221434cdad0abf4907706e949,37.32673,-121.8892731,House of Pizza,96
160,03ec647221434cdad0abf4907706e949,37.32673,-121.8892731,FoodShed,218
160,03ec647221434cdad0abf4907706e949,37.32673,-121.8892731,Affinity Restaurant & Bar,294
160,03ec647221434cdad0abf4907706e949,37.32673,-121.8892731,Grace Deli & Cafe,305
160,03ec647221434cdad0abf4907706e949,37.32673,-121.8892731,Hilton San Jose,308
161,55287fdab6af4d37f97e17770b823bbe,37.86996670760404,-122.28653311729433,Nine Thai Eatery,77
161,55287fdab6af4d37f97e17770b823bbe,37.86996670760404,-122.28653311729433,Pyeong Chang Tofu,98
161,55287fdab6af4d37f97e17770b823bbe,37.86996670760404,-122.28653311729433,La Mission,119
161,55287fdab6af4d37f97e17770b823bbe,37.86996670760404,-122.28653311729433,The Phoenix Pastificio,163
161,55287fdab6af4d37f97e17770b823bbe,37.86996670760404,-122.28653311729433,Ledger Liquor Store,174
162,0eddf1befddc9f3a1264cc05bf1a5e6a,37.8624644,-122.2647911,Funky Door Yoga Berkeley,166
162,0eddf1befddc9f3a1264cc05bf1a5e6a,37.8624644,-122.2647911,Musashi,236
162,0eddf1befddc9f3a1264cc05bf1a5e6a,37.8624644,-122.2647911,Way Station Brew,242
162,0eddf1befddc9f3a1264cc05bf1a5e6a,37.8624644,-122.2647911,Fish & Bird Sousaku Izakaya,325
162,0eddf1befddc9f3a1264cc05bf1a5e6a,37.8624644,-122.2647911,Tuk Tuk Thai Berkeley,333
163,e69e4dce53bdbe1ffe17185ee72fdcae,37.8588682,-122.2912095,The Beat,50
163,e69e4dce53bdbe1ffe17185ee72fdcae,37.8588682,-122.2912095,Tarocco,67
163,e69e4dce53bdbe1ffe17185ee72fdcae,37.8588682,-122.2912095,West Berkeley Cafe,79
163,e69e4dce53bdbe1ffe17185ee72fdcae,37.8588682,-122.2912095,Kitchen on 10th,112
163,e69e4dce53bdbe1ffe17185ee72fdcae,37.8588682,-122.2912095,Cafe Buenos Aires,112
164,e526d675e9f591823eb822bebb0630b0,37.8623199,-122.258801,Mount Everest Restaurant,113
164,e526d675e9f591823eb822bebb0630b0,37.8623199,-122.258801,Kiraku,149
164,e526d675e9f591823eb822bebb0630b0,37.8623199,-122.258801,Uji Time Dessert,178
164,e526d675e9f591823eb822bebb0630b0,37.8623199,-122.258801,Pasta Bene,200
164,e526d675e9f591823eb822bebb0630b0,37.8623199,-122.258801,Pho K & K,235
165,780cbaed92260f59e763de62b4cebe1f,37.776619,-122.417385,The Beer Hall,52
165,780cbaed92260f59e763de62b4cebe1f,37.776619,-122.417385,Siam Orchid Traditional Thai Massage,74
165,780cbaed92260f59e763de62b4cebe1f,37.776619,-122.417385,The Hot Spot,85
165,780cbaed92260f59e763de62b4cebe1f,37.776619,-122.417385,Fitness SF,99
165,780cbaed92260f59e763de62b4cebe1f,37.776619,-122.417385,Mr. Tipple's Recording Studio,113
166,23c911eba61c38bd79e4df21cf9a8bc6,37.7770527,-122.4295585,Church of 8 Wheels,282
166,23c911eba61c38bd79e4df21cf9a8bc6,37.7770527,-122.4295585,Petit Crenn,283
166,23c911eba61c38bd79e4df21cf9a8bc6,37.7770527,-122.4295585,Suppenküche,290
166,23c911eba61c38bd79e4df21cf9a8bc6,37.7770527,-122.4295585,The Center SF,297
166,23c911eba61c38bd79e4df21cf9a8bc6,37.7770527,-122.4295585,Salt & Straw,313
167,4e8692f7a9eae9f0575945f02a87ccce,37.77754677017323,-122.43327409029006,Alamo Square Hideout,83
167,4e8692f7a9eae9f0575945f02a87ccce,37.77754677017323,-122.43327409029006,Painted Ladies,158
